													
1	5364809												
2	5372571												
3	5372401												
4	5372886												
5	5373809												
6	5377009												
7	5373080												
8	5371825												
9	5371725												
10	5365133												
Average	5371524												
1	1787572												
2	1787746												
3	1787649												
4	1787746												
5	1787578												
6	1787562												
7	1787886												
8	1787571												
9	1787570												
10	1787658												
Average	1787653												
1	14536133												
2	14536533												
3	14530587												
4	14532660												
5	14558469												
6	14530417												
7	14531404												
8	14532873												
9	14536071												
10	14555605												
Average	14538075												
1	1086860												
2	1087000												
3	1086842												
4	1086842												
5	1086840												
6	1086841												
7	1086855												
8	1086840												
9	1086843												
10	1086840												
Average	1086860												
1	129137												
2	129181												
3	129138												
4	129135												
5	129137												
6	129135												
7	129136												
8	129181												
9	129139												
10	129135												
Average	129145												
1	129312												
2	129267												
3	129268												
4	129266												
5	129268												
6	129270												
7	129268												
8	129269												
9	129269												
10	129269												
Average	129272												
1	129148												
2	129149												
3	129146												
4	129149												
5	129148												
6	129193												
7	129147												
8	129145												
9	129147												
10	129190												
Average	129156												
1	129327												
2	129283												
3	129283												
4	129283												
5	129283												
6	129284												
7	129284												
8	129283												
9	129283												
10	129331												
Average	129292												
1	129294												
2	129291												
3	129336												
4	129291												
5	129337												
6	129294												
7	129292												
8	129339												
9	129292												
10	129338												
Average	129310												
1	129383												
2	129427												
3	129384												
4	129382												
5	129426												
6	129427												
7	129428												
8	129381												
9	129381												
10	129384												
Average	129400												
1	129348												
2	129303												
3	129303												
4	129302												
5	129303												
6	129348												
7	129349												
8	129302												
9	129306												
10	129303												
Average	129316												
1	137322												
2	137320												
3	137319												
4	137366												
5	137367												
6	137320												
7	137364												
8	137364												
9	137319												
10	137321												
Average	137338												
